win_id,class_id,class_name,class_family,flag,h_id,SNR,INR,main_level_dB,main_level_type,gt_sample,gt_ms,event_sample,event_ms,noise_id,file,case,split
121,1,Preamble_LFMU,Preamble,1,1-3,-5,3,-5,SNR,234,7.131537242472267,234,7.131537242472267,0,m00121.mat,1,train
122,2,LFMD,SCI,0,1-3,-5,3,3,INR,-1,-1.0,229,6.979153968060466,0,m00122.mat,1,train
123,3,HFMU,SCI,0,1-3,-5,3,3,INR,-1,-1.0,332,10.118249420943558,0,m00123.mat,1,train
124,4,PBPD,PBPD,0,1-3,-5,3,3,INR,-1,-1.0,587,17.889796415945384,0,m00124.mat,1,train
125,5,IMP,IMP,0,1-3,-5,3,3,INR,-1,-1.0,-1,-1.0,0,m00125.mat,1,train
126,6,NoiseOnly,Noise,0,1-3,-5,3,-5,Noise,-1,-1.0,-1,-1.0,0,m00126.mat,1,train
127,1,Preamble_LFMU,Preamble,1,1-3,-5,3,-5,SNR,83,2.5295623552358895,83,2.5295623552358895,0,m00127.mat,1,train
128,2,LFMD,SCI,0,1-3,-5,3,3,INR,-1,-1.0,383,11.672558819943923,0,m00128.mat,1,train
129,3,HFMU,SCI,0,1-3,-5,3,3,INR,-1,-1.0,189,5.760087772766061,0,m00129.mat,1,train
130,4,PBPD,PBPD,0,1-3,-5,3,3,INR,-1,-1.0,381,11.611605510179203,0,m00130.mat,1,train
131,5,IMP,IMP,0,1-3,-5,3,3,INR,-1,-1.0,-1,-1.0,0,m00131.mat,1,train
132,6,NoiseOnly,Noise,0,1-3,-5,3,-5,Noise,-1,-1.0,-1,-1.0,0,m00132.mat,1,train
133,1,Preamble_LFMU,Preamble,1,1-3,-5,3,-5,SNR,61,1.859075947823967,61,1.859075947823967,0,m00133.mat,1,train
134,2,LFMD,SCI,0,1-3,-5,3,3,INR,-1,-1.0,60,1.8285992929416066,0,m00134.mat,1,train
135,3,HFMU,SCI,0,1-3,-5,3,3,INR,-1,-1.0,148,4.510544922589297,0,m00135.mat,1,train
136,4,PBPD,PBPD,0,1-3,-5,3,3,INR,-1,-1.0,666,20.297452151651832,0,m00136.mat,1,train
137,5,IMP,IMP,0,1-3,-5,3,3,INR,-1,-1.0,-1,-1.0,0,m00137.mat,1,train
138,6,NoiseOnly,Noise,0,1-3,-5,3,-5,Noise,-1,-1.0,-1,-1.0,0,m00138.mat,1,train
139,1,Preamble_LFMU,Preamble,1,1-3,-5,3,-5,SNR,55,1.676216018529806,55,1.676216018529806,0,m00139.mat,1,train
140,2,LFMD,SCI,0,1-3,-5,3,3,INR,-1,-1.0,402,12.251615262708764,0,m00140.mat,1,train
141,3,HFMU,SCI,0,1-3,-5,3,3,INR,-1,-1.0,134,4.083871754236255,0,m00141.mat,1,train
142,4,PBPD,PBPD,0,1-3,-5,3,3,INR,-1,-1.0,378,11.520175545532123,0,m00142.mat,1,train
143,5,IMP,IMP,0,1-3,-5,3,3,INR,-1,-1.0,-1,-1.0,0,m00143.mat,1,train
144,6,NoiseOnly,Noise,0,1-3,-5,3,-5,Noise,-1,-1.0,-1,-1.0,0,m00144.mat,1,train
145,1,Preamble_LFMU,Preamble,1,1-3,-5,3,-5,SNR,141,4.2972083384127755,141,4.2972083384127755,0,m00145.mat,1,train
146,2,LFMD,SCI,0,1-3,-5,3,3,INR,-1,-1.0,139,4.236255028648055,0,m00146.mat,1,train
147,3,HFMU,SCI,0,1-3,-5,3,3,INR,-1,-1.0,100,3.0476654882360115,0,m00147.mat,1,train
148,4,PBPD,PBPD,0,1-3,-5,3,3,INR,-1,-1.0,313,9.539192978178715,0,m00148.mat,1,train
149,5,IMP,IMP,0,1-3,-5,3,3,INR,-1,-1.0,-1,-1.0,0,m00149.mat,1,train
150,6,NoiseOnly,Noise,0,1-3,-5,3,-5,Noise,-1,-1.0,-1,-1.0,0,m00150.mat,1,train
151,1,Preamble_LFMU,Preamble,1,1-3,-5,3,-5,SNR,42,1.2800195050591248,42,1.2800195050591248,0,m00151.mat,1,train
152,2,LFMD,SCI,0,1-3,-5,3,3,INR,-1,-1.0,328,9.996342801414118,0,m00152.mat,1,train
153,3,HFMU,SCI,0,1-3,-5,3,3,INR,-1,-1.0,71,2.1638424966475682,0,m00153.mat,1,train
154,4,PBPD,PBPD,0,1-3,-5,3,3,INR,-1,-1.0,511,15.573570644886018,0,m00154.mat,1,train
155,5,IMP,IMP,0,1-3,-5,3,3,INR,-1,-1.0,-1,-1.0,0,m00155.mat,1,train
156,6,NoiseOnly,Noise,0,1-3,-5,3,-5,Noise,-1,-1.0,-1,-1.0,0,m00156.mat,1,train
157,1,Preamble_LFMU,Preamble,1,1-3,-5,3,-5,SNR,182,5.546751188589541,182,5.546751188589541,0,m00157.mat,1,train
158,2,LFMD,SCI,0,1-3,-5,3,3,INR,-1,-1.0,359,10.94111910276728,0,m00158.mat,1,train
159,3,HFMU,SCI,0,1-3,-5,3,3,INR,-1,-1.0,443,13.50115811288553,0,m00159.mat,1,train
160,4,PBPD,PBPD,0,1-3,-5,3,3,INR,-1,-1.0,49,1.4933560892356454,0,m00160.mat,1,train
161,5,IMP,IMP,0,1-3,-5,3,3,INR,-1,-1.0,-1,-1.0,0,m00161.mat,1,train
162,6,NoiseOnly,Noise,0,1-3,-5,3,-5,Noise,-1,-1.0,-1,-1.0,0,m00162.mat,1,train
163,1,Preamble_LFMU,Preamble,1,1-3,-5,3,-5,SNR,210,6.400097525295624,210,6.400097525295624,0,m00163.mat,1,train
164,2,LFMD,SCI,0,1-3,-5,3,3,INR,-1,-1.0,268,8.16774350847251,0,m00164.mat,1,train
165,3,HFMU,SCI,0,1-3,-5,3,3,INR,-1,-1.0,416,12.678288431061807,0,m00165.mat,1,train
166,4,PBPD,PBPD,0,1-3,-5,3,3,INR,-1,-1.0,129,3.9314884798244547,0,m00166.mat,1,train
167,5,IMP,IMP,0,1-3,-5,3,3,INR,-1,-1.0,-1,-1.0,0,m00167.mat,1,train
168,6,NoiseOnly,Noise,0,1-3,-5,3,-5,Noise,-1,-1.0,-1,-1.0,0,m00168.mat,1,train
169,1,Preamble_LFMU,Preamble,1,1-3,-5,3,-5,SNR,265,8.07631354382543,265,8.07631354382543,0,m00169.mat,1,train
170,2,LFMD,SCI,0,1-3,-5,3,3,INR,-1,-1.0,135,4.114348409118615,0,m00170.mat,1,train
171,3,HFMU,SCI,0,1-3,-5,3,3,INR,-1,-1.0,396,12.068755333414604,0,m00171.mat,1,train
172,4,PBPD,PBPD,0,1-3,-5,3,3,INR,-1,-1.0,548,16.70120687553334,0,m00172.mat,1,train
173,5,IMP,IMP,0,1-3,-5,3,3,INR,-1,-1.0,-1,-1.0,0,m00173.mat,1,train
174,6,NoiseOnly,Noise,0,1-3,-5,3,-5,Noise,-1,-1.0,-1,-1.0,0,m00174.mat,1,train
175,1,Preamble_LFMU,Preamble,1,1-3,-5,3,-5,SNR,48,1.4628794343532854,48,1.4628794343532854,0,m00175.mat,1,train
176,2,LFMD,SCI,0,1-3,-5,3,3,INR,-1,-1.0,203,6.186760941119103,0,m00176.mat,1,train
177,3,HFMU,SCI,0,1-3,-5,3,3,INR,-1,-1.0,75,2.285749116177008,0,m00177.mat,1,train
178,4,PBPD,PBPD,0,1-3,-5,3,3,INR,-1,-1.0,396,12.068755333414604,0,m00178.mat,1,train
179,5,IMP,IMP,0,1-3,-5,3,3,INR,-1,-1.0,-1,-1.0,0,m00179.mat,1,train
180,6,NoiseOnly,Noise,0,1-3,-5,3,-5,Noise,-1,-1.0,-1,-1.0,0,m00180.mat,1,train
181,1,Preamble_LFMU,Preamble,1,1-4,-5,3,-5,SNR,424,12.922101670120687,424,12.922101670120687,0,m00181.mat,1,train
182,2,LFMD,SCI,0,1-4,-5,3,3,INR,-1,-1.0,381,11.611605510179203,0,m00182.mat,1,train
183,3,HFMU,SCI,0,1-4,-5,3,3,INR,-1,-1.0,130,3.9619651347068148,0,m00183.mat,1,train
184,4,PBPD,PBPD,0,1-4,-5,3,3,INR,-1,-1.0,630,19.20029257588687,0,m00184.mat,1,train
185,5,IMP,IMP,0,1-4,-5,3,3,INR,-1,-1.0,-1,-1.0,0,m00185.mat,1,train
186,6,NoiseOnly,Noise,0,1-4,-5,3,-5,Noise,-1,-1.0,-1,-1.0,0,m00186.mat,1,train
187,1,Preamble_LFMU,Preamble,1,1-4,-5,3,-5,SNR,404,12.312568572473484,404,12.312568572473484,0,m00187.mat,1,train
188,2,LFMD,SCI,0,1-4,-5,3,3,INR,-1,-1.0,312,9.508716323296355,0,m00188.mat,1,train
189,3,HFMU,SCI,0,1-4,-5,3,3,INR,-1,-1.0,173,5.272461294648299,0,m00189.mat,1,train
190,4,PBPD,PBPD,0,1-4,-5,3,3,INR,-1,-1.0,522,15.90881384859198,0,m00190.mat,1,train
191,5,IMP,IMP,0,1-4,-5,3,3,INR,-1,-1.0,-1,-1.0,0,m00191.mat,1,train
192,6,NoiseOnly,Noise,0,1-4,-5,3,-5,Noise,-1,-1.0,-1,-1.0,0,m00192.mat,1,train
193,1,Preamble_LFMU,Preamble,1,1-4,-5,3,-5,SNR,318,9.691576252590515,318,9.691576252590515,0,m00193.mat,1,train
194,2,LFMD,SCI,0,1-4,-5,3,3,INR,-1,-1.0,379,11.550652200414481,0,m00194.mat,1,train
195,3,HFMU,SCI,0,1-4,-5,3,3,INR,-1,-1.0,96,2.9257588687065708,0,m00195.mat,1,train
196,4,PBPD,PBPD,0,1-4,-5,3,3,INR,-1,-1.0,109,3.321955382177252,0,m00196.mat,1,train
197,5,IMP,IMP,0,1-4,-5,3,3,INR,-1,-1.0,-1,-1.0,0,m00197.mat,1,train
198,6,NoiseOnly,Noise,0,1-4,-5,3,-5,Noise,-1,-1.0,-1,-1.0,0,m00198.mat,1,train
199,1,Preamble_LFMU,Preamble,1,1-4,-5,3,-5,SNR,234,7.131537242472267,234,7.131537242472267,0,m00199.mat,1,train
200,2,LFMD,SCI,0,1-4,-5,3,3,INR,-1,-1.0,215,6.552480799707424,0,m00200.mat,1,train
201,3,HFMU,SCI,0,1-4,-5,3,3,INR,-1,-1.0,335,10.209679385590636,0,m00201.mat,1,train
202,4,PBPD,PBPD,0,1-4,-5,3,3,INR,-1,-1.0,168,5.120078020236499,0,m00202.mat,1,train
203,5,IMP,IMP,0,1-4,-5,3,3,INR,-1,-1.0,-1,-1.0,0,m00203.mat,1,train
204,6,NoiseOnly,Noise,0,1-4,-5,3,-5,Noise,-1,-1.0,-1,-1.0,0,m00204.mat,1,train
205,1,Preamble_LFMU,Preamble,1,1-4,-5,3,-5,SNR,194,5.9124710471778625,194,5.9124710471778625,0,m00205.mat,1,train
206,2,LFMD,SCI,0,1-4,-5,3,3,INR,-1,-1.0,187,5.699134463001341,0,m00206.mat,1,train
207,3,HFMU,SCI,0,1-4,-5,3,3,INR,-1,-1.0,107,3.261002072412532,0,m00207.mat,1,train
208,4,PBPD,PBPD,0,1-4,-5,3,3,INR,-1,-1.0,663,20.206022187004756,0,m00208.mat,1,train
209,5,IMP,IMP,0,1-4,-5,3,3,INR,-1,-1.0,-1,-1.0,0,m00209.mat,1,train
